country,country_code,year,tourism_receipts,tourism_arrivals,tourism_exports,tourism_departures,tourism_expenditures,gdp,inflation,unemployment,continent
Samoa,WSM,2007,102400001.525879,122000.0,56.327814721882,52000.0,6.64147016704291,573548459.833372,5.57706393219629,2.168,Australia
Samoa,WSM,2008,111599998.474121,122000.0,61.954620984098,53000.0,6.69883010094921,641346191.664776,11.565906838454,3.046,Australia
Samoa,WSM,2009,115199996.948242,129000.0,66.3575383763356,43000.0,6.95823780600948,628006115.424052,6.32495336235228,3.9239999999999995,Australia
Samoa,WSM,2010,123699996.948242,130000.0,60.5685856694146,56000.0,6.472665961303,680260907.153983,0.777007268777692,4.802,Australia
Samoa,WSM,2011,134899993.896484,128000.0,64.7320037928004,57000.0,5.23363278595729,744097050.169115,5.23541591478434,5.68,Australia
Samoa,WSM,2012,148199996.948242,135000.0,66.7059531844453,56000.0,5.60741961943468,773141661.165548,2.0490188352116,8.752,Australia
Samoa,WSM,2013,137199996.948242,125000.0,59.615508558911,51000.0,3.35475759317078,797736334.281305,0.61008572090503,8.736,Australia
Samoa,WSM,2014,147699996.948242,132000.0,65.3757425567042,57000.0,0.985235694333579,796683519.593842,-0.40681608842489,8.72,Australia
Samoa,WSM,2015,142399993.896484,139000.0,61.5346254851128,54000.0,0.78041242796718,824150498.653536,0.724470134874729,8.946666666666667,Australia
Samoa,WSM,2016,148699996.948242,146000.0,59.8993680749264,54500.0,0.52492338528358,843924796.697421,1.30471869303179,9.173333333333334,Australia
Samoa,WSM,2017,167000000.0,158000.0,59.9873552744121,55000.0,0.950797352654094,884844384.463214,1.74989677484705,9.4,Australia
Samoa,WSM,2018,192300003.051758,172000.0,63.877417530795,64000.0,0.975006551578842,878448433.404342,4.19745888663752,8.5296,Australia
Samoa,WSM,2019,206100006.103516,181000.0,61.1969351605922,69000.0,1.13858574266416,912950466.064906,0.982326569888117,7.6592,Australia
Samoa,WSM,2020,23059999.4659424,23899.9996185303,19.7907411795208,18500.0,0.477719014209709,868898358.266437,-1.56891247740895,6.7888,Australia
Samoa,WSM,2021,23059999.4659424,23899.9996185303,19.7907411795208,18500.0,0.477719014209709,843923638.733018,3.13320473174494,5.9184,Australia
Samoa,WSM,2022,23059999.4659424,23899.9996185303,19.7907411795208,18500.0,0.477719014209709,832945205.637185,10.9618822286844,5.048,Australia
Samoa,WSM,2023,23059999.4659424,23899.9996185303,19.7907411795208,18500.0,0.477719014209709,938189443.830393,10.9618822286844,5.048,Australia
Sao Tome and Principe,STP,1999,9200000.0,5800.00019073486,56.1820824652209,8600.00038146973,6.5076598058815,77302211.9248351,12.7251770130085,14.4,Africa
Sao Tome and Principe,STP,2000,9900000.0,7099.99990463257,60.8580277434044,8600.00038146973,5.85261181992393,76198394.8202671,12.2089456308977,14.4,Africa
Sao Tome and Principe,STP,2001,6200000.0,7500.0,56.0386798158915,8600.00038146973,5.11660728554418,75951133.3777948,9.22203707560889,15.73,Africa
Sao Tome and Principe,STP,2002,6900000.0,9199.99980926514,46.7117072953543,8600.00038146973,4.4555579793301,85171073.8777498,10.128724672229,17.63,Africa
Sao Tome and Principe,STP,2003,7400000.0,10000.0,46.8748935051571,8600.00038146973,3.81694334017172,102085769.123419,9.79241974934509,16.36,Africa
Sao Tome and Principe,STP,2004,7700000.0,10600.0003814697,51.0973272537231,8600.00038146973,3.89770028830286,114582283.916382,13.2858860871796,16.12,Africa
Sao Tome and Principe,STP,2005,7300000.0,15800.0001907349,45.7846770754975,8600.00038146973,0.94941292389953,136450662.390592,17.1522049354354,16.47,Africa
Sao Tome and Principe,STP,2006,6700000.0,12300.0001907349,41.5766471253223,8600.00038146973,1.42851502140624,142775104.081626,23.0770373451381,16.65,Africa
Sao Tome and Principe,STP,2007,5000000.0,11800.0001907349,37.0079675191387,8600.00038146973,0.837970598750918,149146918.888611,18.5485136325779,16.14,Africa
Sao Tome and Principe,STP,2008,7700000.0,14500.0,43.9764386642794,10300.0001907349,0.272906340442985,188021165.00338,31.9901039492573,15.629999999999999,Africa
Sao Tome and Principe,STP,2009,8300000.0,15199.9998092651,42.3192350267815,10300.0001907349,0.399026673020223,200668065.03175,16.9574758025945,15.12,Africa
